M1(°C)	M2(°C)	V(km/h)	P(kPa)
-3.3	-7.5	48	1.0207
-6.9	-10.1	50	2.0404
-6.4	-17.2	48	1.0203
3.1	-13.1	52	1.0197
-13.2	-17.2	52	2.038
-13.4	-20.3	49	2.0362
-11.9	-16.2	47	2.0484
-13.6	-18.9	53	1.024
-10.9	-15.8	49	2.0478
-4.7	-12.7	49	2.047
-10.5	-17.7	52	1.0233
-6.9	-13.1	46	2.0468
-19.5	-23.4	55	1.0233
-14.1	-21.5	47	1.0232
-1.7	-6.2	55	2.0292
-13.7	-21.9	54	1.0129
-13.7	-24.9	52	2.0222
-2.6	-21.8	48	1.0098
-5	-13.9	52	1.009
-12.4	-23.3	53	2.0176
0.2	-17.2	53	1.0082
2.3	-5.1	45	1.0081
-13.7	-17.9	47	1.0081
-8.7	-19.4	55	2.0148
-6.9	-18.4	54	2.0136
0.3	-11	49	2.0118
0	-2.3	51	2.0102
-10.3	-14.1	49	2.0304
-13.9	-20.7	48	1.0172
-9.7	-17.6	51	1.0179
-6.1	-14.5	45	2.0378
-0.8	-16.3	45	1.0203
-3.1	-10	52	1.0218
-14.9	-22.8	47	1.0229
-12	-18.9	48	1.0234
-17.1	-23.1	46	1.0245
-10.3	-22.9	45	2.0498
-4.2	-14.1	54	1.0252
-10.1	-15.7	46	2.0506
-10.7	-21.8	54	1.0249
-11.9	-16.2	47	2.0484
-13.6	-18.9	53	1.024
-10.9	-15.8	49	1.0239
-4.7	-12.7	49	2.047
-10.5	-17.7	52	1.0233
-6.9	-13.1	46	1.0234
-19.5	-23.4	55	1.0233
-14.1	-21.5	47	2.0464
-13.6	-19.4	47	1.0232
-14.7	-23.5	49	1.0229
-13.1	-22.6	49	1.0224
-8.4	-21.5	47	1.0144
-6.8	-15.5	53	1.0143
-13.5	-18.5	52	2.0288
-5	-13.9	52	2.018
-12.4	-23.3	53	2.0176
0.2	-17.2	53	2.0164
2.3	-5.1	45	2.0162
-13.7	-17.9	47	1.0081
-8.7	-19.4	55	2.0148
-6.9	-18.4	54	2.0136
0.3	-11	49	1.0059
2.6	-5.9	50	1.0169
-8	-13.2	55	1.0164
-6.4	-18	47	1.0158
-2.4	-10.7	51	1.0153
0.2	-5.2	46	1.0154
2.7	-3.3	47	1.0159
9.2	-2.8	47	2.0326
10.4	4.3	55	1.0165
-2.2	-6.7	46	1.0163
-0.1	-9.5	46	2.0334
0.3	-3.6	46	2.0302
-0.5	-3.3	53	1.0144
4.8	-10.8	50	2.0266
1.2	-3.5	42	1.0127
-5.3	-12.4	42	1.0119
-0.7	-13.7	38	2.0218
5.5	-7.4	39	1.0099
1.8	-1.2	41	1.0094
-8.2	-15.9	37	1.0085
-4.7	-16	35	1.0079
1.6	-11.4	36	2.0316
8.1	-6.3	41	1.016
6	2.5	44	1.0159
5.5	-1.8	45	1.0161
0.8	-9.3	36	2.0328
4	-8.3	35	2.0334
4.1	-0.4	36	2.0334
3.5	-4.4	35	2.034
2.7	-7.2	36	2.0334
11.7	-1.6	42	1.0167
14	1.8	41	2.032
2.6	-4.5	37	2.0302
1.6	-4.5	45	2.0288
4.6	-6.3	35	1.0133
7.6	-2.4	32	2.0254
6.8	-3.5	28	2.0238
7.9	-0.2	30	2.0218
12.7	3.1	27	1.0099
9.4	2.2	32	2.0188
17.6	2.5	30	2.017
23.5	5	28	1.0079
16.8	6.4	26	1.0076
14.7	3.1	29	1.0064
17.7	0.2	27	1.0055
20.7	12	26	1.0099
9.1	3.5	25	2.0202
13.6	0.7	34	1.0105
10.8	4.9	30	1.0106
13.1	6.5	30	2.0246
10.3	5.1	29	2.0244
6.9	2.2	34	2.0244
4.2	0.9	33	2.0236
11.5	0.9	31	1.0117
13.2	3.6	18	2.0226
15.3	5.4	23	2.0218
20.4	4.8	23	1.0105
17.5	6.8	22	1.0102
16.8	6.1	21	2.02
20.5	7.6	24	2.0196
24.7	8.8	20	1.0096
26.2	13	25	1.0096
28.5	15.4	23	1.0094
21.3	10.3	18	2.0198
25.4	8.1	24	1.0101
28.4	12.5	23	1.0105
31.1	12.9	15	1.0106
29.4	12.6	20	2.0302
25	14.2	20	2.0288
9.8	7.8	17	2.0266
22.1	7.8	19	2.0254
18.7	6.9	16	2.0238
19.2	6.1	23	2.0218
23	8.7	23	2.0198
21.8	15.5	24	1.0094
26.8	14.9	25	1.0085
30	11.5	19	2.0158
27.9	17.8	23	2.0188
16.1	7.2	8	1.0103
20.8	8.5	14	1.0113
13.1	6.5	13	2.0244
16.6	1.8	9	2.0244
27.6	12.4	7	2.0236
21.7	16	10	2.0234
29.4	15.5	6	1.0113
28.2	20.5	11	1.0109
23.1	18.3	14	2.021
25.8	11.1	11	2.0204
30.7	18.3	5	2.0292
15.1	8.5	6	2.0316
15.5	10.9	12	2.0234
13.4	8.4	6	2.0236
20.1	4.7	12	1.0117
27.1	8.3	13	2.024
25.1	15.2	8	1.0123
21.9	9.1	8	1.0122
23.6	8.1	10	2.0244
22.1	14.7	14	2.0236
24.1	16.8	5	2.0234
25.2	15.9	8	1.0113
23.2	16.7	7	2.0218
22.3	17.4	14	1.0105
27.6	13.4	15	2.0204
24.7	14.3	15	1.01
23	15.8	11	2.0196
23.7	17.7	6	2.0192
23.5	11.2	14	1.0096
27.9	14.7	8	2.0188
23	11.8	15	2.0198
26	10.4	12	1.0101
24.7	18.2	11	2.021
28	17.1	14	1.0106
27.4	19.6	6	1.0106
24.8	13.1	14	2.0236
24.3	12.3	12	1.0119
25.2	13.2	12	2.0234
25.1	13.5	7	2.0236
15.1	13.8	13	1.0117
20.4	12.3	7	2.024
27.5	15.1	7	2.0246
21.4	17.3	9	1.0122
23.7	13.8	12	1.0122
25.1	13.8	11	1.0118
26.8	15.2	6	1.0117
27.6	17.3	9	1.0113
29.4	17.7	9	2.0218
31.1	20.7	11	1.0105
25.5	15.5	6	1.0102
24.9	15.2	14	1.01
29.9	16.2	6	2.0196
29.7	18.8	13	2.0192
31.6	20.9	9	1.0096
32	18.9	8	2.0188
30.2	23	10	2.0198
24.3	13.3	15	2.0202
25.7	10.9	7	2.021
26.6	14.3	11	2.0212
25	17	5	1.0139
29.4	20.2	5	1.0139
28	19.7	15	2.0286
24.9	18.1	11	2.029
23.1	14.6	14	1.0146
25.3	16.2	10	1.0145
25.4	16.7	14	1.0145
28.2	14.9	15	2.0284
28.7	19.2	7	1.0139
31.1	20.2	9	1.0134
31.7	18.9	8	2.026
