M1(°C)	M2(°C)	V(km/h)	P(kPa)
-3.3	-7.5	48	1.0207
-6.9	-10.1	50	1.0202
-6.4	-17.2	48	2.0406
3.1	-13.1	52	2.0394
-13.2	-17.2	52	2.038
-13.4	-20.3	49	2.0362
-12.5	-20.7	55	2.0354
-8.9	-26.7	50	2.035
-6.5	-17.2	49	2.0348
-8.5	-13.7	50	2.0336
-4.6	-11.2	54	1.0159
-1.7	-6.2	55	2.0292
-13.7	-21.9	54	1.0129
-13.7	-24.9	52	1.0111
-2.6	-21.8	48	1.0098
-5	-13.9	52	2.018
-12.4	-23.3	53	1.0088
0.2	-17.2	53	2.0164
2.3	-5.1	45	1.0081
-13.7	-17.9	47	2.0162
-8.7	-19.4	55	2.0148
-6.9	-18.4	54	1.0068
0.3	-11	49	2.0118
0	-2.3	51	2.0102
-10.3	-14.1	49	2.0304
-13.9	-20.7	48	2.0344
-9.7	-17.6	51	1.0179
-6.1	-14.5	45	1.0189
-0.8	-16.3	45	2.0406
-3.1	-10	52	1.0218
-14.9	-22.8	47	2.0458
-12	-18.9	48	1.0234
-17.1	-23.1	46	2.049
-10.3	-22.9	45	1.0249
-4.2	-14.1	54	2.0504
-10.1	-15.7	46	2.0506
-10.7	-21.8	54	2.0498
-11.9	-16.2	47	2.0484
-13.6	-18.9	53	2.048
-10.9	-15.8	49	1.0239
-4.7	-12.7	49	1.0235
-10.5	-17.7	52	1.0233
-6.9	-13.1	46	1.0234
-19.5	-23.4	55	2.0466
-14.1	-21.5	47	1.0232
-13.6	-19.4	47	1.0232
-14.7	-23.5	49	1.0229
-13.1	-22.6	49	2.0448
-8.4	-21.5	47	2.0288
-6.8	-15.5	53	1.0143
-13.5	-18.5	52	1.0144
-7.3	-16.8	51	2.0296
-3.1	-11.9	49	1.0153
-17.9	-20.3	54	1.016
-8.3	-22.4	51	2.0344
-4.6	-10.7	50	1.0176
-9.9	-20.3	47	1.0182
-8.5	-19.6	49	2.036
-5.3	-15.9	48	2.0354
-2.8	-13.8	47	1.0175
-2.6	-7.1	46	1.0172
-2.7	-15.4	54	1.0172
2.6	-5.9	50	2.0338
-8	-13.2	55	2.0328
-6.4	-18	47	2.0316
-2.4	-10.7	51	2.0306
0.2	-5.2	46	2.0308
2.7	-3.3	47	2.0318
9.2	-2.8	47	2.0326
10.4	4.3	55	1.0165
-2.2	-6.7	46	1.0163
-0.1	-9.5	46	1.0167
0.3	-3.6	46	2.0302
-0.5	-3.3	53	2.0288
4.8	-10.8	50	2.0266
1.2	-3.5	42	2.0254
-5.3	-12.4	42	1.0119
-0.7	-13.7	38	2.0218
5.5	-7.4	39	2.0198
1.8	-1.2	41	2.0188
-8.2	-15.9	37	1.0085
-4.7	-16	35	1.0079
1.6	-11.4	36	2.0316
8.1	-6.3	41	2.032
6	2.5	44	1.0159
5.5	-1.8	45	1.0161
0.8	-9.3	36	1.0164
4	-8.3	35	2.0334
4.1	-0.4	36	2.0334
3.5	-4.4	35	1.017
2.7	-7.2	36	2.0334
11.7	-1.6	42	2.0334
14	1.8	41	2.032
2.6	-4.5	37	2.0302
1.6	-4.5	45	1.0144
4.6	-6.3	35	1.0133
7.6	-2.4	32	2.0254
6.8	-3.5	28	1.0119
7.9	-0.2	30	1.0109
12.7	3.1	27	1.0099
9.4	2.2	32	2.0188
17.6	2.5	30	1.0085
23.5	5	28	2.0158
16.8	6.4	26	1.0076
14.7	3.1	29	2.0128
17.7	0.2	27	2.011
20.7	12	26	1.0099
9.1	3.5	25	1.0101
13.6	0.7	34	2.021
10.8	4.9	30	1.0106
13.1	6.5	30	2.0246
10.3	5.1	29	2.0244
6.9	2.2	34	2.0244
4.2	0.9	33	1.0118
11.5	0.9	31	2.0234
13.2	3.6	18	1.0113
15.3	5.4	23	2.0218
20.4	4.8	23	1.0105
17.5	6.8	22	2.0204
16.8	6.1	21	2.02
20.5	7.6	24	1.0098
24.7	8.8	20	2.0192
26.2	13	25	2.0192
28.5	15.4	23	2.0188
21.3	10.3	18	2.0198
25.4	8.1	24	1.0101
28.4	12.5	23	1.0105
31.1	12.9	15	1.0106
29.4	12.6	20	2.0302
